,Price (NPR),Year,Fuel,Kilometer Run,Color,Mileage (Km/L),Engine (CC),Transmission,Brand,Age
230,500000,2007,Petrol,20,black,14,1500,Auto 2WD,Tata,18
231,1400000,2010,Petrol,61000,grey,15,1300,Power Steering,Maruti Suzuki,15
232,1500000,2010,Petrol,86000,black,14,1600,Manual 2WD,Jeep,15
233,1250000,2015,Petrol,40352,grey,14,800,Manual 2WD,Maruti Suzuki,10
234,525000,2012,Petrol,8200,white,10,800,Manual 2WD,Maruti Suzuki,13
235,1500000,2016,Diesel,80000,others,14,2900,Manual 2WD,Tata,9
236,1750000,2018,Diesel,60000,white,12,2523,Manual 4WD,Mahindra,7
237,1350000,2014,Diesel,49000,others,14,1200,Auto 4WD,Mahindra,11
238,2275000,2021,Petrol,15000,grey,14,1000,Manual 2WD,Maruti Suzuki,4
239,1325000,2009,Petrol,70000,silver,14,1200,Auto 2WD,Hyundai,16
240,2149999,2015,Petrol,41100,red,16,1200,Manual 2WD,Maruti Suzuki,10
241,1450000,2017,Petrol,53000,white,14,2500,Manual 2WD,Mahindra,8
242,1100000,2011,Petrol,58000,silver,17,1000,Power Steering,Maruti Suzuki,14
243,1100000,2007,Petrol,75000,silver,14,1500,Manual 2WD,Honda,18
244,11500000,2014,Diesel,49000,silver,14,3000,Auto 4WD,Nissan,11
245,2500000,2016,Petrol,81000,silver,15,1200,Manual 2WD,Hyundai,9
246,4300000,2014,Petrol,59000,white,14,1500,Manual 4WD,Daihatsu,11
247,1150000,2007,Petrol,57000,black,13,1096,Manual 2WD,Hyundai,18
248,515000,2007,Petrol,49000,white,19,796,Auto 2WD,Maruti Suzuki,18
249,365000,2002,Petrol,56000,white,18,796,Auto 2WD,Maruti Suzuki,23
250,350000,2010,Petrol,80000,white,10,800,Auto 2WD,Maruti Suzuki,15
251,2500000,2010,Petrol,49000,others,14,1200,Manual 2WD,Other Brands,15
252,1385000,2009,Petrol,76500,blue,14,1300,Manual 2WD,Maruti Suzuki,16
253,950000,2020,Diesel,28250,white,14,700,Manual 2WD,Tata,5
254,5100000,2021,Electric,49000,white,14,1200,Auto 2WD,Other Brands,4
255,1700000,1998,Petrol,98000,green,18,1200,Manual 4WD,Maruti Suzuki,27
256,2225000,2021,Petrol,15000,grey,14,1086,Manual 2WD,Hyundai,4
257,1800000,2010,Petrol,76342,brown,14,1400,Auto 2WD,Hyundai,15
258,2225000,2021,Petrol,15000,grey,14,1100,Manual 2WD,Hyundai,4
259,1600000,2014,Petrol,35000,silver,14,1186,Manual 2WD,Hyundai,11
260,650000,2015,Diesel,49000,others,14,1200,Auto 4WD,Eicher,10
261,1250000,2006,Petrol,69000,others,13,1596,Manual 2WD,Nissan,19
262,2260000,2016,Petrol,42000,others,14,1200,Manual 2WD,Maruti Suzuki,9
263,950000,2011,Diesel,77000,white,12,2523,Manual 4WD,Mahindra,14
264,2100000,2015,Petrol,47000,grey,14,1197,Manual 2WD,Maruti Suzuki,10
265,1575000,2010,Petrol,58000,grey,13,1197,Manual 2WD,Hyundai,15
266,575000,1997,Petrol,98521,blue,12,850,Manual 2WD,Daihatsu,28
