Name,Price,Transmission,Types,Fuel,Make Year,Mileage,Lot No,Colour,Kilometer Run,Engine (CC)
Royal Enfield Classic 350 | Bullet 350 | 011 Lot,"रू. 4,75,000",Manual,Cruiser,Petrol,2019,,111,Silver,29000,350
Honda aviator 041lot,"रू. 1,95,000",Manual,Scooty,Petrol,2023,,,,,
Apache 180cc sell an exchange fresh,"रू. 93,000",Manual,Sport,Petrol,2013,35,55,Black,0,180
Yamaha Ray ZR 125 Fi,"रू. 2,10,000",Automatic,Scooty,Petrol,2021,50+,BA36PA2419,Yellow,12000,125
Bajaj Pulsar 150 06 Lot 23000 KM only,"रू. 2,20,000",Manual,Standard,Petrol,2019,35,106,Black,23000,150
fascino 88lot,"रू. 90,000",Manual,Scooty,Petrol,2017,,,,,
CB Shine 68Lot,"रू. 94,000",Automatic,Standard,Petrol,2015,,68,,,125
Honda Shine 125 Model 2024,"रू. 2,35,000",Manual,Standard,Petrol,2024,65 kmpl,Bagmati Pradesh 050,Black,9250,125
burgmen 007lot,"रू. 1,25,000",Manual,Scooty,Petrol,2019,,,,,
Dio fi 046 lot,"रू. 2,40,000",Manual,Scooty,Petrol,2023,,,,,
bullet 78 lot on sale or exchange,रू. 100,Manual,Standard,Petrol,2016,,78,silver,40000,350
Fresh NS 200 FI ABS on sale,"रू. 1,95,000",Manual,Sport,Petrol,2020,35,117,Black,39000,200
Suzuki Sling Shot Tax all cler 57 lot 9803656430,"रू. 40,000",Automatic,Standard,Petrol,2015,50+,,,,
bajaj N160 for sale,"रू. 2,40,000",Manual,Standard,Petrol,2023,45,042,black,26000,160
Honda dio sale. Or exchange   Ramro  condition ma,"रू. 85,000",Automatic,Scooty,Petrol,2013,,60,Gray,44,110
Dio 125 Sell,"रू. 2,45,000",Automatic,Scooty,Petrol,2024,50,151,Red and black,8000,125
RayZr Fi yamaha 120 lot top model 9803656430,"रू. 1,69,000",Automatic,Scooty,Petrol,2020 last,50,120,,,125
