Name,Price,Transmission,Types,Fuel,Make Year,Mileage,Lot No,Colour,Kilometer Run,Engine (CC)
Italica formula 150,"रू. 2,00,000",Manual,Scooty,Petrol,2021,,030,Black,15000,150
"Crossfire Gr7 113 lot bike , 9813296721","रू. 2,55,000",Manual,Dirt,Petrol,2019,,,,,250
rayzr 64lot,"रू. 62,000",Automatic,Standard,Petrol,2014,,,,,
fz250 very low km running,"रू. 2,50,000",Manual,Sport,Petrol,2017,,,ballistic blue,13000,249
Ntorq 125 race edition,"रू. 1,48,000",Manual,Scooty,Petrol,2020,30,,red and black,24000,125
Honda aviator 73 lot,"रू. 1,00,000",Manual,Scooty,Petrol,2016,,73,black,,125
Avenger Like New 37 Lot,"रू. 65,000",Manual,Cruiser,Petrol,2009,40,37,,,200
ray zr hybrid 2024,"रू. 2,50,000",Manual,Scooty,Petrol,2024,,,,6000,125
Bajaj pulsar 220f (81 lot),"रू. 1,36,000",Manual,Standard,Petrol,2016,,81,,34000,220
YAMAHA R15 ON URGENT SELL,"रू. 2,80,000",Manual,Sport,Petrol,2021,,102,Blue,27000,150
Ns 200 Fully fresh 78 lot 9803656430,"रू. 1,23,000",Automatic,Sport,Petrol,2017,35+,,,,
250NK for sale (Limited Edition),"रू. 2,80,000",Manual,Sport,Petrol,2020,,020 Pa 7750,Silver,41K,250
Royal Enfield himalayan 411,"रू. 3,78,000",Manual,Dirt,Petrol,2016,22,81,Snow white,27k,411
Well Maintained Vespa VXL 2016 Model for Sale,"रू. 90,000",Automatic,Scooty,Petrol,2016,35-40,76,Red,32086,125
Bajaj NS 200 (93 lot),"रू. 1,39,000",Manual,Standard,Petrol,2018,,93,,27000,200
X pulse 4v,"रू. 3,90,000",Manual,Dirt,Diesel,2024,,151,Blue,8500,200
honda shine,"रू. 55,000",Automatic,Sport,Petrol,2010,50,,,25000,125
hero splendor 33 lot,"रू. 45,000",Manual,Standard,Petrol,2009,,33,,,
Honda Xr 190 L like new 139 lot 9803656430,"रू. 5,99,000",Automatic,Dirt,Petrol,2022 last,,,,,190
dio fi 046lot,"रू. 2,50,000",Automatic,Standard,Petrol,2024,,,,,
NS 200,"रू. 1,65,000",Manual,Sport,Petrol,2018,35,101,black,47000,200
Bajaj Avenger 200 36 Lot Sale Or Exchange,"रू. 75,000",Manual,Standard,Petrol,2012,40,36,Blue,33000,200
triumph scrambler 400x,"रू. 6,50,000",Manual,Others,Petrol,2024,,,red,8000,400
Italica 250,"रू. 3,59,000",Manual,Standard,Petrol,2021,25,124,Sky,13000,250
Fz V2 97 Lot,"रू. 1,68,000",Manual,Standard,Petrol,2018,,,,,
pulsar 150 81lot,"रू. 1,25,000",Automatic,Standard,Petrol,2016,,,,,
131 lot X puls like new condition,"रू. 2,35,000",Manual,Cruiser,Petrol,2021,,,,,
honda Dio 125cc,"रू. 2,90,000",Automatic,Scooty,Petrol,2025,55,058,blue,2400,125
ntroq - 036 lot,"रू. 1,50,000",Manual,Scooty,Petrol,2021,,,,,
Honda shine 24 lot on sale,"रू. 48,000",Automatic,Standard,Petrol,2006,40,24,Black,48000,125
Dorminar 400 Fi And Abs Fully Fresh Lot-025,"रू. 3,10,000",Manual,Sport,Petrol,2021,,,,24000,400
suzuki slingshot best for mileage,"रू. 48,000",Automatic,Sport,Petrol,2012,55,,,,125
137 Lot Yamaha F.Z V3 BS.6 Bike Sell Ma Xa,"रू. 2,35,000",Automatic,Standard,Petrol,2021,45,137,Black,16500,150
Ns 200 lot 78 super fresh condition,"रू. 1,25,000",Automatic,Sport,Petrol,2016,35,,,,200
112 lot 150 pulsar urgent sell,"रू. 1,32,000",Manual,Standard,Petrol,2019,40,112,,,150
