Name,Price,Transmission,Types,Fuel,Make Year,Mileage,URL
Aviator Fully Fresh Lot-027 Super Fresh,"रू. 1,75,000",Manual,Scooty,Petrol,2021,,https://hamrobazaar.com/product/aviator-fully-fresh-lot027-super-fresh-in-bhaktapur/70e718bebdad6e3d87578d39dd6580ec
Apache Rtr 1604v 102lot On Sale Or Exchange,"रू. 1,59,000",Manual,Standard,Petrol,2019,,https://hamrobazaar.com/product/apache-rtr-1604v-102lot-on-sale-or-exchange-in-kathmandu/6e1139e3caa37443a4544d50448e7cd0
Honda XR 190L,"रू. 6,20,000",Manual,Dirt,Petrol,2019,45 km/l,https://hamrobazaar.com/product/honda-xr-190l-in-kathmandu/a9138bdbb4c70989e1f256a2647faf6d
BMW GS 310 on urgent sale,"रू. 7,30,000",Manual,Others,Petrol,2019,30,https://hamrobazaar.com/product/bmw-gs-310-on-urgent-sale-in-kathmandu/72564d88e1ff1301e6fb391aed986e65
Bajaj Ns 200,"रू. 1,25,000",Manual,Standard,Petrol,2017,35,https://hamrobazaar.com/product/bajaj-ns-200-in-lalitpur/65ed69a7162c7efcea8055da145771f1
Yamaha ZR Street Rally 113cc(Yamaha),"रू. 1,25,000",Automatic,Scooty,Petrol,2018,,https://hamrobazaar.com/product/yamaha-zr-street-rally-113cc-in-kathmandu/14ffc711fe7945daa8dece436f9d5e07
Ktm Duke 250 gen 3. (fully fresh single hand bike),"रू. 5,50,000",Automatic,Standard,Petrol,2024,,https://hamrobazaar.com/product/ktm-duke-250-gen-3-fully-fresh-single-hand-bike-in-palpa/b370cd21a270e11ef26790625aba8b14
Fresh Rtr 160 4v on sale,"रू. 1,85,000",Automatic,Sport,Petrol,2020,,https://hamrobazaar.com/product/fresh-rtr-160-4v-on-sale-in-kathmandu/542e9cba2fbc4fc49966178aea759e0e
Brand New Apache Rtr 160cc Bs6 Fi Abs 9823657076,"रू. 3,45,000",Manual,Standard,Petrol,2024,,https://hamrobazaar.com/product/brand-new-apache-rtr-160cc-bs6-fi-abs-9823657076-in-bhaktapur/5c9b03c86c511cf13a1cb02fb9caba73
rieju bike,"रू. 3,00,000",Manual,Dirt,Petrol,2010,20,https://hamrobazaar.com/product/rieju-bike-in-kathmandu/80cd11dda6eb82c1d3897c76b87cc7a8
