iter	Passed	Remaining
1024	76318	35367
1025	76373	35283
1026	76446	35208
1027	76517	35132
1028	76575	35050
1029	76645	34974
1030	76712	34896
1031	76777	34817
1032	76840	34738
1033	76907	34660
1034	76976	34583
1035	77045	34506
1036	77112	34429
1037	77181	34352
1038	77247	34274
1039	77325	34201
1040	77396	34125
1041	77499	34064
1042	77620	34010
1043	77732	33952
1044	77854	33898
1045	77975	33843
1046	78091	33787
1047	78203	33729
1048	78291	33660
1049	78361	33583
1050	78434	33508
1051	78527	33441
1052	78607	33368
1053	78694	33299
1054	78816	33245
1055	78942	33191
1056	79045	33128
1057	79157	33069
1058	79227	32992
1059	79284	32910
1060	79340	32827
1061	79403	32748
1062	79478	32673
1063	79546	32596
1064	79612	32517
1065	79676	32438
1066	79739	32358
1067	79818	32285
1068	79891	32210
1069	79964	32135
1070	80033	32058
1071	80102	31981
1072	80176	31906
1073	80263	31836
1074	80329	31758
1075	80414	31687
1076	80507	31619
1077	80581	31545
1078	80660	31471
1079	80725	31393
1080	80797	31317
1081	80860	31238
1082	80918	31156
1083	80983	31078
1084	81053	31002
1085	81121	30924
1086	81188	30847
1087	81252	30768
1088	81314	30688
1089	81368	30606
1090	81425	30525
1091	81479	30442
1092	81536	30361
1093	81591	30279
1094	81647	30198
1095	81703	30116
1096	81755	30034
1097	81815	29954
1098	81875	29874
1099	81934	29794
1100	82005	29718
1101	82066	29639
1102	82133	29561
1103	82197	29483
1104	82267	29407
1105	82336	29331
1106	82405	29254
1107	82466	29175
1108	82520	29094
1109	82588	29017
1110	82646	28937
1111	82710	28859
1112	82773	28781
1113	82828	28700
1114	82891	28621
1115	82946	28540
1116	83001	28459
1117	83059	28380
1118	83120	28300
1119	83183	28222
1120	83251	28146
1121	83303	28064
1122	83371	27988
1123	83442	27913
1124	83517	27839
1125	83579	27760
1126	83657	27687
1127	83766	27624
1128	83848	27553
1129	83918	27477
1130	83984	27400
1131	84055	27325
1132	84117	27247
1133	84170	27166
1134	84233	27088
1135	84298	27011
1136	84364	26934
1137	84436	26859
1138	84506	26783
1139	84560	26703
1140	84621	26624
1141	84676	26544
1142	84731	26464
1143	84794	26387
1144	84859	26310
1145	84918	26231
1146	84972	26151
1147	85030	26072
1148	85145	26010
1149	85224	25937
1150	85289	25861
1151	85365	25787
1152	85487	25727
1153	85611	25668
1154	85688	25595
1155	85740	25514
1156	85796	25434
1157	85866	25359
1158	85930	25282
1159	85991	25204
1160	86049	25125
1161	86132	25053
1162	86244	24990
1163	86301	24911
1164	86373	24836
1165	86455	24765
1166	86518	24687
1167	86572	24607
1168	86630	24529
1169	86694	24452
1170	86758	24375
1171	86830	24300
1172	86900	24225
1173	86964	24148
1174	87028	24071
1175	87096	23995
1176	87160	23919
1177	87228	23843
1178	87282	23763
1179	87338	23684
1180	87395	23606
1181	87452	23527
1182	87507	23448
1183	87561	23369
1184	87614	23289
1185	87675	23212
1186	87731	23133
1187	87801	23059
1188	87873	22984
1189	87939	22908
1190	88012	22834
1191	88102	22764
1192	88231	22705
1193	88289	22627
1194	88365	22553
1195	88477	22489
1196	88606	22429
1197	88736	22369
1198	88866	22309
1199	88987	22246
1200	89090	22180
1201	89176	22108
1202	89265	22038
1203	89372	21971
1204	89496	21909
1205	89632	21850
1206	89770	21791
1207	89888	21727
1208	89997	21661
1209	90110	21596
1210	90243	21536
1211	90366	21473
1212	90495	21411
1213	90610	21346
1214	90742	21285
1215	90857	21220
1216	90966	21153
1217	91069	21085
1218	91146	21010
1219	91200	20931
1220	91267	20854
1221	91326	20776
1222	91381	20697
1223	91453	20621
1224	91519	20545
1225	91583	20468
1226	91637	20388
1227	91703	20312
1228	91772	20236
1229	91843	20160
1230	91910	20084
1231	91969	20006
1232	92028	19928
1233	92097	19852
1234	92156	19774
1235	92219	19697
1236	92279	19619
1237	92336	19541
1238	92392	19462
1239	92446	19383
1240	92505	19306
1241	92574	19230
1242	92630	19151
1243	92695	19075
1244	92766	19000
1245	92831	18923
1246	92893	18846
1247	92965	18771
1248	93035	18696
1249	93095	18619
1250	93167	18544
1251	93237	18468
1252	93305	18393
1253	93368	18316
1254	93444	18242
1255	93507	18165
1256	93572	18089
1257	93641	18013
1258	93703	17936
1259	93758	17858
1260	93813	17780
1261	93873	17703
1262	93938	17627
1263	94005	17551
1264	94060	17473
1265	94117	17396
1266	94177	17319
1267	94241	17242
1268	94294	17164
1269	94350	17087
1270	94419	17011
1271	94477	16934
1272	94531	16856
1273	94588	16779
1274	94659	16704
1275	94725	16628
1276	94787	16552
1277	94848	16476
1278	94915	16400
1279	94985	16325
1280	95054	16250
1281	95111	16173
1282	95164	16095
1283	95221	16018
1284	95276	15941
1285	95333	15864
1286	95391	15787
1287	95446	15710
1288	95499	15632
1289	95555	15555
1290	95608	15478
1291	95662	15400
1292	95716	15323
1293	95772	15246
1294	95829	15169
1295	95881	15092
1296	95938	15015
1297	95990	14938
1298	96045	14861
1299	96099	14784
1300	96166	14709
1301	96234	14634
1302	96301	14559
1303	96371	14485
1304	96426	14408
1305	96483	14332
1306	96555	14258
1307	96610	14181
1308	96675	14106
1309	96744	14031
1310	96803	13955
1311	96863	13879
1312	96929	13804
1313	97000	13730
1314	97068	13656
1315	97138	13581
1316	97195	13505
1317	97262	13430
1318	97319	13354
1319	97388	13280
1320	97445	13204
1321	97500	13127
1322	97561	13052
1323	97629	12977
1324	97699	12903
1325	97767	12829
1326	97837	12754
1327	97892	12678
1328	97962	12604
1329	98021	12529
1330	98086	12454
1331	98142	12378
1332	98203	12303
1333	98266	12228
1334	98331	12153
1335	98386	12077
1336	98441	12001
1337	98507	11926
1338	98576	11852
1339	98646	11778
1340	98714	11704
1341	98783	11630
1342	98852	11556
1343	98920	11481
1344	98978	11406
1345	99041	11331
1346	99103	11256
1347	99172	11182
1348	99241	11108
1349	99293	11032
1350	99351	10957
1351	99412	10882
1352	99473	10807
1353	99532	10732
1354	99588	10657
1355	99641	10581
1356	99697	10506
1357	99756	10431
1358	99813	10355
1359	99882	10282
1360	99952	10208
1361	100022	10134
1362	100093	10060
1363	100169	9987
1364	100238	9913
1365	100304	9839
1366	100367	9765
1367	100421	9689
1368	100475	9614
1369	100532	9539
1370	100598	9465
1371	100668	9391
1372	100736	9317
1373	100794	9243
1374	100851	9168
1375	100905	9093
1376	100975	9019
1377	101028	8944
1378	101088	8869
1379	101146	8795
1380	101203	8720
1381	101258	8645
1382	101313	8570
1383	101386	8497
1384	101450	8423
1385	101511	8349
1386	101572	8275
1387	101630	8200
1388	101693	8126
1389	101763	8053
1390	101831	7979
1391	101899	7905
1392	101958	7831
1393	102021	7757
1394	102074	7683
1395	102128	7608
1396	102185	7534
1397	102237	7459
1398	102292	7384
1399	102361	7311
1400	102417	7237
1401	102483	7163
1402	102551	7090
1403	102620	7016
1404	102686	6943
1405	102745	6869
1406	102811	6795
1407	102877	6722
1408	102944	6648
1409	103003	6574
1410	103064	6500
1411	103121	6426
1412	103174	6352
1413	103229	6278
1414	103282	6204
1415	103338	6130
1416	103393	6056
1417	103449	5982
1418	103503	5908
1419	103556	5834
1420	103613	5760
1421	103672	5686
1422	103746	5613
1423	103815	5540
1424	103884	5467
1425	103954	5394
1426	104025	5321
1427	104101	5248
1428	104165	5175
1429	104229	5102
1430	104295	5028
1431	104361	4955
1432	104422	4882
1433	104481	4808
1434	104546	4735
1435	104617	4662
1436	104683	4589
1437	104753	4516
1438	104808	4442
1439	104840	4368
1440	104907	4295
1441	104976	4222
1442	105044	4149
1443	105109	4076
1444	105164	4002
1445	105204	3928
1446	105263	3855
1447	105332	3782
1448	105398	3709
1449	105468	3636
1450	105534	3563
1451	105605	3491
1452	105661	3417
1453	105729	3344
1454	105791	3271
1455	105849	3198
1456	105903	3125
1457	105968	3052
1458	106040	2979
1459	106113	2907
1460	106199	2834
1461	106285	2762
1462	106383	2690
1463	106475	2618
1464	106565	2545
1465	106650	2473
1466	106724	2400
1467	106795	2327
1468	106861	2255
1469	106917	2181
1470	106988	2109
1471	107058	2036
1472	107130	1963
1473	107199	1890
1474	107255	1817
1475	107316	1744
1476	107382	1672
1477	107444	1599
1478	107511	1526
1479	107566	1453
1480	107626	1380
1481	107685	1307
1482	107747	1235
1483	107808	1162
1484	107872	1089
1485	107932	1016
1486	107985	944
1487	108040	871
1488	108107	798
1489	108176	726
1490	108248	653
1491	108319	580
1492	108387	508
1493	108453	435
1494	108505	362
1495	108566	290
1496	108634	217
1497	108704	145
1498	108775	72
1499	108842	0
