,Price,Transmission,Types,Fuel,Make Year,Lot No,Kilometer Run,Mileage (Km/L),Engine (CC),Color,Brand
239,69000,Automatic,Standard,Petrol,2010,43,71000,38,150,Black,Bajaj
240,165000,Automatic,Scooty,Petrol,2021,125,23000,45,125,Other,Other
241,62000,Automatic,Scooty,Petrol,2013,59,28000,35,125,Other,TVS
242,125000,Manual,Standard,Petrol,2016,86,23000,40,200,Other,Other
243,150000,Manual,Scooty,Petrol,2022,86,23000,40,150,Other,Other
244,80000,Manual,Sport,Petrol,2014,86,35000,40,150,Other,Other
245,499900,Automatic,Sport,Petrol,2025,62,3400,45,155,Blue,Yamaha
246,230000,Manual,Sport,Petrol,2022,141,3800,35,200,Red,Other
248,165000,Manual,Standard,Petrol,2018,86,23000,40,150,Other,Other
249,145000,Manual,Standard,Petrol,2018,86,23000,40,200,Other,Other
251,425000,Automatic,Standard,Petrol,2022,135,15000,30,200,Other,Duke
252,80000,Manual,Sport,Petrol,2014,66,40000,42,150,Black,Honda
253,65000,Automatic,Standard,Petrol,2015,86,23000,40,150,Other,Other
254,257000,Automatic,Sport,Petrol,2021,131,13500,47,150,Black,FZ
255,75000,Automatic,Sport,Petrol,2016,86,32000,45,150,Other,Other
256,220000,Automatic,Scooty,Electric,2025,86,1000,100,150,Blue,Other
257,285000,Manual,Standard,Petrol,2020,86,23000,40,150,Other,Jawa
258,67000,Manual,Sport,Petrol,2010,86,23000,40,150,Other,Honda
259,295000,Manual,Others,Petrol,2021,86,23000,40,150,Other,Dominar
260,250000,Automatic,Dirt,Petrol,2019,86,23000,40,250,Other,Other
261,168000,Manual,Others,Petrol,2021,86,23000,40,150,Other,Other
262,99900,Automatic,Sport,Petrol,2014,66,35000,40,110,Red,Honda
263,175000,Manual,Standard,Petrol,2022,36,38000,47,126,Black,TVS
264,145000,Manual,Standard,Petrol,2017,89,23000,40,200,Other,Other
265,178000,Automatic,Scooty,Petrol,2021,25,23000,50,125,Other,Other
266,199000,Manual,Standard,Petrol,2021,126,23000,55,150,Other,FZ
267,159000,Manual,Scooty,Petrol,2020,120,21000,40,125,Blue,Other
268,265000,Manual,Sport,Petrol,2022,36,19000,40,220,Other,Other
269,143000,Manual,Sport,Petrol,2018,86,23000,45,160,Other,Honda
270,275000,Manual,Dirt,Petrol,2016,80,46000,30,150,Other,Honda
271,130000,Manual,Others,Petrol,2016,86,23000,40,200,Other,Other
272,125000,Manual,Standard,Petrol,2016,81,23000,35,150,Other,Other
273,114999,Automatic,Scooty,Petrol,2016,79,22000,32,125,Blue,Other
274,390000,Manual,Others,Petrol,2021,86,25000,25,400,Black,Bajaj
275,155000,Automatic,Scooty,Petrol,2019,14,32000,40,150,Other,Other
276,125000,Manual,Standard,Petrol,2017,86,30000,37,150,Black,Other
277,143000,Manual,Standard,Petrol,2017,88,23000,40,150,Other,Other
278,320,Manual,Sport,Petrol,2025,156,5700,35,200,Red,Other
